system,mapping_type,original_name,generic_id
ATS,object,AURIC::VOBC::TrainLabelCmd,2168
ATS,object,AURIC::VOBC::TrainStatusReport,2178
ATS,object,AURIC::VOBC::VOBCResetCmd,2171
ATS,object,AURIC::VOBC::VOBCSwitchoverCmd,2170
ATS,object,AURIC::ZC::ACPPrepResetSecure,2194
ATS,object,AURIC::ZC::ATSControl,2193
ATS,object,AURIC::ZC::BlockStatusReport,2220
ATS,object,AURIC::ZC::CallonCmdSecure,2191
ATS,object,AURIC::ZC::CallonRemoveCmd,2192
ATS,object,AURIC::ZC::CrossingCOOverrideCmdSecure,2198
ATS,object,AURIC::ZC::CrossingStatusReport,2223
ATS,object,AURIC::ZC::DetectionSensorStatusReport,2212
ATS,object,AURIC::ZC::DeviceCmd,2202
ATS,object,AURIC::ZC::ESDStatusReport,2218
ATS,object,AURIC::ZC::FailedZonesStatusReport,2208
ATS,object,AURIC::ZC::GIDZoneCmd,2199
ATS,object,AURIC::ZC::MRRCmd,2204
ATS,object,AURIC::ZC::MRRConfFail,2229
ATS,object,AURIC::ZC::MRRConfResp,2228
ATS,object,AURIC::ZC::MRRStatusReport,2213
ATS,object,AURIC::ZC::NCOStatusReport,2211
ATS,object,AURIC::ZC::OptionalDataReportConfirmation,2225
ATS,object,AURIC::ZC::OptionalDataReportDBStatus,2227
ATS,object,AURIC::ZC::OptionalDataReportFailure,2226
ATS,object,AURIC::ZC::OptionalDataReportTrainId,2224
ATS,object,AURIC::ZC::PlatformDoorStatusReport,2210
ATS,object,AURIC::ZC::PlatformDoorsStatusReport,2215
ATS,object,AURIC::ZC::PortalStatusReport,2219
ATS,object,AURIC::ZC::PowerSectZoneCmd,2200
ATS,object,AURIC::ZC::RouteCancel,2183
ATS,object,AURIC::ZC::RouteCmd,2201
ATS,object,AURIC::ZC::RouteRelease,2184
ATS,object,AURIC::ZC::RouteSet,2182
ATS,object,AURIC::ZC::RouteStatusReport,2214
ATS,object,AURIC::ZC::RouteVerify,2185
ATS,object,AURIC::ZC::SignalBlockCmdSecure,2188
ATS,object,AURIC::ZC::SignalStatusReport,2207
ATS,object,AURIC::ZC::SignallingModeStatusReport,2216
ATS,object,AURIC::ZC::StatusReport,2221
ATS,object,AURIC::ZC::SwitchBlockCmdSecure,2189
ATS,object,AURIC::ZC::SwitchManualMoveSecure,2187
ATS,object,AURIC::ZC::SwitchMode,2186
ATS,object,AURIC::ZC::SwitchOperatorLock,2190
ATS,object,AURIC::ZC::SwitchResConfFail,2231
ATS,object,AURIC::ZC::SwitchResConfResp,2230
ATS,object,AURIC::ZC::SwitchReserveCmd,2203
ATS,object,AURIC::ZC::SwitchStatusReport,2217
ATS,object,AURIC::ZC::TrackCmd,2205
ATS,object,AURIC::ZC::TrackCmdSecure,2179
ATS,object,AURIC::ZC::TrackConfFail,2233
ATS,object,AURIC::ZC::TrackConfResp,2232
ATS,object,AURIC::ZC::TrackMDZSecure,2181
ATS,object,AURIC::ZC::TrackTSRSecure,2180
ATS,object,AURIC::ZC::TrackZonesStatusReport,2209
ATS,object,AURIC::ZC::TrainReportVector,4014
ATS,object,AURIC::ZC::TrainStatusReport,2206
ATS,object,AURIC::ZC::WaysideHardwareStatusReport,2222
ATS,object,AURIC::ZC::ZCReconfigure,2196
